frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,beverages,soft cheese,hard cheese,cream cheese,mayonnaise,domestic eggs,rolls/buns,roll products,flour,pasta,margarine,specialty fat,sugar,soups,skin care,hygiene articles,candles
ham,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter milk,domestic eggs,rolls/buns,pastry,mustard,pickled vegetables,soda,long life bakery product,chocolate,specialty chocolate,specialty bar,chocolate marshmallow,candy,napkins,cookware,newspapers,,,,,,,,,
frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,grapes,onions,other vegetables,sliced cheese,cream cheese,mayonnaise,ice cream,frozen dessert,margarine,mustard,soups,pickled vegetables,coffee,long life bakery product,chocolate,seasonal products,female sanitary products,hygiene articles,cling film/bags,,,,,,,,,,
liver loaf,ham,pip fruit,root vegetables,other vegetables,whole milk,curd,dessert,butter milk,yogurt,mayonnaise,white bread,pastry,rice,sugar,pet care,coffee,soda,fruit/vegetable juice,salty snack,long life bakery product,napkins,,,,,,,,,,
frankfurter,chicken,pork,beef,hamburger meat,tropical fruit,berries,whole milk,pastry,roll products,oil,margarine,sugar,artif. sweetener,mustard,soups,cereals,jam,bottled water,bottled beer,candles,potted plants,,,,,,,,,,
sausage,ham,pork,beef,hamburger meat,tropical fruit,pip fruit,berries,other vegetables,curd,dessert,yogurt,sliced cheese,spread cheese,semi-finished bread,canned vegetables,bottled water,misc. beverages,syrup,waffles,chocolate,seasonal products,,,,,,,,,,
sausage,finished products,hamburger meat,citrus fruit,tropical fruit,pip fruit,other vegetables,butter,UHT-milk,specialty cheese,pastry,roll products,pasta,organic products,baking powder,canned vegetables,cat food,chewing gum,chocolate,potted plants,flower (seeds),,,,,,,,,,,
sausage,tropical fruit,pip fruit,whole milk,soft cheese,processed cheese,white bread,pastry,semi-finished bread,oil,mustard,ketchup,soda,misc. beverages,long life bakery product,waffles,chocolate,specialty chocolate,detergent,napkins,house keeping products,,,,,,,,,,,
sausage,citrus fruit,tropical fruit,pip fruit,other vegetables,whole milk,butter,processed cheese,spread cheese,pastry,canned fish,bottled water,red/blush wine,salty snack,long life bakery product,chocolate,female sanitary products,rubbing alcohol,hygiene articles,napkins,house keeping products,,,,,,,,,,,
citrus fruit,grapes,onions,other vegetables,whipped/sour cream,cream cheese,mayonnaise,frozen vegetables,ice cream,mustard,spices,preservation products,coffee,cocoa drinks,long life bakery product,waffles,chocolate,candy,dish cleaner,abrasive cleaner,hygiene articles,,,,,,,,,,,
frankfurter,ham,meat,pip fruit,berries,UHT-milk,soft cheese,sliced cheese,cream cheese,frozen vegetables,frozen fish,white bread,brown bread,sugar,sauces,sweet spreads,canned fish,pet care,fruit/vegetable juice,specialty bar,kitchen towels,,,,,,,,,,,
sausage,meat,turkey,citrus fruit,tropical fruit,pip fruit,root vegetables,onions,herbs,other vegetables,whole milk,curd,yogurt,whipped/sour cream,soft cheese,cream cheese,frozen vegetables,brown bread,pastry,semi-finished bread,margarine,,,,,,,,,,,
frankfurter,chicken,pork,tropical fruit,pip fruit,yogurt,whipped/sour cream,frozen vegetables,semi-finished bread,zwieback,flour,vinegar,margarine,pickled vegetables,bottled water,soda,waffles,chocolate,chocolate marshmallow,detergent,napkins,,,,,,,,,,,
hamburger meat,tropical fruit,other vegetables,whole milk,butter,curd,dessert,yogurt,whipped/sour cream,UHT-milk,domestic eggs,pastry,flour,margarine,cereals,canned fish,cat food,bottled water,bottled beer,hygiene articles,napkins,,,,,,,,,,,
chicken,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,hard cheese,processed cheese,mayonnaise,frozen vegetables,pastry,roll products,rice,margarine,sugar,pickled vegetables,bottled water,fruit/vegetable juice,candy,skin care,napkins,,,,,,,,,,,
sausage,beef,berries,root vegetables,other vegetables,whole milk,butter,sliced cheese,rolls/buns,white bread,brown bread,pastry,jam,soda,fruit/vegetable juice,syrup,chocolate,dish cleaner,dental care,napkins,newspapers,,,,,,,,,,,
frankfurter,chicken,beef,hamburger meat,tropical fruit,other vegetables,butter,curd,butter milk,yogurt,whipped/sour cream,UHT-milk,frozen vegetables,pastry,flour,margarine,canned fish,coffee,fruit/vegetable juice,salty snack,specialty chocolate,,,,,,,,,,,
frankfurter,turkey,citrus fruit,whole milk,curd,frozen potato products,rolls/buns,white bread,pastry,semi-finished bread,pickled vegetables,sweet spreads,bottled water,soda,fruit/vegetable juice,bottled beer,white wine,prosecco,chocolate,candy,,,,,,,,,,,,
frankfurter,turkey,tropical fruit,grapes,root vegetables,other vegetables,whole milk,frozen vegetables,frozen meals,frozen potato products,pastry,pickled vegetables,sweet spreads,soda,misc. beverages,salty snack,cake bar,chocolate,detergent,house keeping products,,,,,,,,,,,,
sausage,chicken,pip fruit,grapes,berries,root vegetables,onions,other vegetables,whole milk,butter,whipped/sour cream,ice cream,rolls/buns,margarine,mustard,ready soups,bottled water,canned beer,skin care,hygiene articles,,,,,,,,,,,,
beef,citrus fruit,tropical fruit,pip fruit,berries,root vegetables,other vegetables,whole milk,dessert,sliced cheese,rolls/buns,flour,sugar,pickled vegetables,tea,soda,bottled beer,chocolate,napkins,newspapers,,,,,,,,,,,,
sausage,pork,hamburger meat,tropical fruit,pip fruit,whole milk,yogurt,sliced cheese,frozen vegetables,white bread,dog food,coffee,bottled water,fruit/vegetable juice,long life bakery product,specialty chocolate,specialty bar,chocolate marshmallow,hygiene articles,potted plants,,,,,,,,,,,,
frankfurter,beef,pip fruit,whole milk,yogurt,whipped/sour cream,cream cheese,frozen vegetables,flour,margarine,canned vegetables,pickled vegetables,coffee,bottled water,soda,misc. beverages,fruit/vegetable juice,salty snack,waffles,potted plants,,,,,,,,,,,,
frankfurter,chicken,pork,tropical fruit,root vegetables,other vegetables,yogurt,UHT-milk,mayonnaise,brown bread,pastry,flour,mustard,coffee,cocoa drinks,fruit/vegetable juice,salty snack,long life bakery product,chocolate,seasonal products,,,,,,,,,,,,
frankfurter,chicken,root vegetables,other vegetables,whole milk,dessert,butter milk,yogurt,whipped/sour cream,sliced cheese,hard cheese,pastry,semi-finished bread,flour,pasta,canned vegetables,specialty chocolate,male cosmetics,newspapers,shopping bags,,,,,,,,,,,,
frankfurter,sausage,beef,citrus fruit,pip fruit,berries,other vegetables,whole milk,hard cheese,frozen vegetables,pastry,oil,baking powder,dog food,fruit/vegetable juice,bottled beer,specialty chocolate,seasonal products,detergent,soap,,,,,,,,,,,,
pork,root vegetables,whole milk,whipped/sour cream,ice cream,brown bread,flour,pasta,margarine,sugar,pudding powder,bottled water,specialty chocolate,detergent,dish cleaner,hygiene articles,cling film/bags,house keeping products,candles,,,,,,,,,,,,,
chicken,pork,beef,other vegetables,whole milk,butter,whipped/sour cream,soft cheese,cream cheese,processed cheese,frozen vegetables,frozen fruits,pastry,sugar,soda,long life bakery product,waffles,chocolate marshmallow,candy,,,,,,,,,,,,,
frankfurter,sausage,chicken,citrus fruit,root vegetables,onions,other vegetables,butter,processed cheese,spread cheese,salad dressing,frozen vegetables,frozen fish,rolls/buns,flour,artif. sweetener,soda,candy,cleaner,,,,,,,,,,,,,
sausage,ham,meat,pork,tropical fruit,pip fruit,grapes,other vegetables,whole milk,butter,whipped/sour cream,frozen meals,frozen fish,ice cream,domestic eggs,pastry,soda,syrup,detergent,,,,,,,,,,,,,
turkey,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,packaged fruit/vegetables,whole milk,butter milk,yogurt,specialty cheese,rolls/buns,oil,cat food,coffee,bottled water,fruit/vegetable juice,candy,dish cleaner,,,,,,,,,,,,,
finished products,chicken,pork,beef,hamburger meat,berries,butter,domestic eggs,rolls/buns,brown bread,pastry,flour,Instant food products,soda,salty snack,chocolate,specialty chocolate,hygiene articles,flower (seeds),,,,,,,,,,,,,
ham,tropical fruit,grapes,onions,other vegetables,yogurt,whipped/sour cream,soft cheese,sliced cheese,frozen vegetables,white bread,pastry,semi-finished bread,oil,cat food,bottled water,fruit/vegetable juice,detergent,house keeping products,,,,,,,,,,,,,
ham,tropical fruit,pip fruit,other vegetables,whole milk,yogurt,whipped/sour cream,spread cheese,curd cheese,ice cream,sugar,baking powder,fruit/vegetable juice,salty snack,waffles,decalcifier,hygiene articles,napkins,light bulbs,,,,,,,,,,,,,
tropical fruit,grapes,berries,other vegetables,whole milk,butter,dessert,yogurt,whipped/sour cream,ice cream,pastry,salt,baking powder,bottled water,misc. beverages,fruit/vegetable juice,canned beer,specialty chocolate,potted plants,,,,,,,,,,,,,
tropical fruit,other vegetables,yogurt,domestic eggs,rolls/buns,pastry,semi-finished bread,zwieback,oil,margarine,organic products,coffee,bottled water,soda,snack products,waffles,chocolate marshmallow,candy,seasonal products,,,,,,,,,,,,,
frankfurter,pip fruit,root vegetables,other vegetables,whole milk,soft cheese,cream cheese,frozen vegetables,salt,specialty fat,sugar,jam,canned fish,coffee,fruit/vegetable juice,long life bakery product,waffles,chocolate,shopping bags,,,,,,,,,,,,,
hamburger meat,citrus fruit,tropical fruit,pip fruit,whole milk,yogurt,frozen meals,domestic eggs,brown bread,pasta,sugar,Instant food products,canned fish,soda,salty snack,popcorn,chocolate,dish cleaner,shopping bags,,,,,,,,,,,,,
pork,beef,citrus fruit,berries,root vegetables,other vegetables,whole milk,yogurt,cream cheese,vinegar,oil,cat food,specialty chocolate,detergent,dish cleaner,abrasive cleaner,cleaner,hygiene articles,shopping bags,,,,,,,,,,,,,
sausage,tropical fruit,whole milk,dessert,butter milk,yogurt,soft cheese,sliced cheese,ice cream,white bread,coffee,soda,salty snack,long life bakery product,chewing gum,chocolate,napkins,newspapers,shopping bags,,,,,,,,,,,,,
sausage,pip fruit,other vegetables,whole milk,butter,dessert,butter milk,yogurt,whipped/sour cream,hard cheese,mayonnaise,oil,mustard,baking powder,popcorn,long life bakery product,chocolate,candy,,,,,,,,,,,,,,
ham,chicken,citrus fruit,tropical fruit,berries,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,beverages,soft cheese,sliced cheese,rolls/buns,pastry,semi-finished bread,oil,fruit/vegetable juice,,,,,,,,,,,,,,
sausage,hamburger meat,tropical fruit,pip fruit,other vegetables,sliced cheese,hard cheese,frozen fish,rolls/buns,brown bread,pastry,sauces,organic products,canned fruit,popcorn,dental care,napkins,kitchen towels,,,,,,,,,,,,,,
ham,meat,tropical fruit,pip fruit,other vegetables,yogurt,UHT-milk,processed cheese,white bread,semi-finished bread,oil,margarine,pickled vegetables,coffee,soda,liquor (appetizer),napkins,light bulbs,,,,,,,,,,,,,,
sausage,citrus fruit,tropical fruit,berries,root vegetables,other vegetables,condensed milk,curd cheese,roll products,pasta,oil,coffee,soda,fruit/vegetable juice,bottled beer,abrasive cleaner,bathroom cleaner,napkins,,,,,,,,,,,,,,
sausage,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,sugar,baking powder,jam,coffee,bottled water,soda,fruit/vegetable juice,salty snack,long life bakery product,candy,napkins,,,,,,,,,,,,,,
sausage,finished products,pork,berries,root vegetables,packaged fruit/vegetables,whole milk,curd,frozen vegetables,brown bread,sugar,soda,fruit/vegetable juice,chocolate,specialty chocolate,specialty bar,hygiene articles,napkins,,,,,,,,,,,,,,
pip fruit,other vegetables,whole milk,dessert,butter milk,yogurt,cream cheese,tidbits,frozen potato products,rolls/buns,white bread,mustard,fruit/vegetable juice,salty snack,long life bakery product,chocolate,specialty bar,napkins,,,,,,,,,,,,,,
sausage,hamburger meat,tropical fruit,pip fruit,whole milk,beverages,frozen vegetables,frozen meals,white bread,pasta,pickled vegetables,sweet spreads,bottled water,fruit/vegetable juice,long life bakery product,specialty bar,detergent,newspapers,,,,,,,,,,,,,,
sausage,pork,beef,tropical fruit,root vegetables,onions,other vegetables,UHT-milk,sliced cheese,mustard,ketchup,bottled water,soda,waffles,chocolate marshmallow,bathroom cleaner,napkins,newspapers,,,,,,,,,,,,,,
sausage,meat,chicken,pip fruit,whole milk,dessert,whipped/sour cream,processed cheese,domestic eggs,rolls/buns,white bread,pickled vegetables,soda,fruit/vegetable juice,salty snack,long life bakery product,waffles,potted plants,,,,,,,,,,,,,,
beef,grapes,nuts/prunes,root vegetables,onions,other vegetables,cream,soft cheese,sliced cheese,hard cheese,domestic eggs,rolls/buns,pastry,mustard,specialty chocolate,specialty bar,dental care,shopping bags,,,,,,,,,,,,,,
chicken,tropical fruit,whole milk,condensed milk,soft cheese,processed cheese,domestic eggs,white bread,pastry,semi-finished bread,soda,long life bakery product,waffles,specialty chocolate,napkins,dishes,kitchen towels,shopping bags,,,,,,,,,,,,,,
pork,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,cream cheese,frozen vegetables,frozen meals,Instant food products,soda,fruit/vegetable juice,salty snack,specialty bar,,,,,,,,,,,,,,
ham,organic sausage,tropical fruit,pip fruit,onions,other vegetables,whole milk,butter,curd,yogurt,sliced cheese,salt,margarine,jam,bottled beer,chewing gum,abrasive cleaner,,,,,,,,,,,,,,,
sausage,pork,citrus fruit,root vegetables,other vegetables,curd,soft cheese,hard cheese,cream cheese,frozen dessert,roll products,rice,oil,coffee,fruit/vegetable juice,chocolate,abrasive cleaner,,,,,,,,,,,,,,,
beef,hamburger meat,berries,root vegetables,onions,other vegetables,dessert,yogurt,frozen meals,rolls/buns,sugar,cat food,soda,fruit/vegetable juice,salty snack,popcorn,cake bar,,,,,,,,,,,,,,,
sausage,beef,pip fruit,grapes,root vegetables,other vegetables,whole milk,curd,butter milk,yogurt,sliced cheese,cream cheese,specialty cheese,frozen meals,white bread,pastry,candy,,,,,,,,,,,,,,,
organic sausage,turkey,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,dessert,butter milk,yogurt,cream cheese,processed cheese,white bread,sauces,bottled beer,waffles,candy,,,,,,,,,,,,,,,
turkey,pork,beef,hamburger meat,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,butter milk,yogurt,rolls/buns,oil,fruit/vegetable juice,waffles,candy,,,,,,,,,,,,,,,
pip fruit,berries,root vegetables,yogurt,soft cheese,hard cheese,frozen meals,frozen fish,frozen dessert,white bread,pastry,pasta,cereals,soda,long life bakery product,cake bar,detergent,,,,,,,,,,,,,,,
frankfurter,beef,other vegetables,whole milk,butter,yogurt,soft cheese,pastry,oil,coffee,bottled water,soda,cake bar,specialty bar,detergent,hygiene articles,dishes,,,,,,,,,,,,,,,
turkey,citrus fruit,tropical fruit,pip fruit,berries,root vegetables,herbs,whole milk,butter,frozen vegetables,sauces,pickled vegetables,bottled water,rubbing alcohol,hygiene articles,napkins,flower (seeds),,,,,,,,,,,,,,,
turkey,citrus fruit,tropical fruit,root vegetables,herbs,other vegetables,whole milk,curd,hard cheese,cream cheese,domestic eggs,brown bread,oil,canned fruit,bottled water,misc. beverages,fruit/vegetable juice,,,,,,,,,,,,,,,
frankfurter,sausage,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,whole milk,yogurt,sliced cheese,frozen meals,frozen fish,brown bread,rice,oil,red/blush wine,hygiene articles,,,,,,,,,,,,,,,
pork,hamburger meat,pip fruit,root vegetables,onions,other vegetables,whole milk,dessert,whipped/sour cream,soft cheese,hard cheese,domestic eggs,salt,pasta,cat food,fruit/vegetable juice,kitchen towels,,,,,,,,,,,,,,,
sausage,citrus fruit,berries,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese,frozen vegetables,domestic eggs,pastry,margarine,soups,canned fish,chocolate,candy,napkins,,,,,,,,,,,,,,,
sausage,chicken,beef,hamburger meat,citrus fruit,grapes,root vegetables,whole milk,butter,whipped/sour cream,flour,coffee,red/blush wine,salty snack,chocolate,hygiene articles,napkins,,,,,,,,,,,,,,,
citrus fruit,pip fruit,root vegetables,onions,herbs,other vegetables,whole milk,butter,processed cheese,frozen vegetables,bottled water,red/blush wine,long life bakery product,chocolate,rubbing alcohol,hygiene articles,napkins,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,whole milk,curd,dessert,whipped/sour cream,UHT-milk,frozen vegetables,frozen meals,bottled water,fruit/vegetable juice,specialty chocolate,napkins,,,,,,,,,,,,,,,
sausage,ham,meat,chicken,tropical fruit,other vegetables,whole milk,butter,yogurt,cream cheese,frozen vegetables,domestic eggs,rolls/buns,brown bread,semi-finished bread,candy,newspapers,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,other vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,sliced cheese,hard cheese,roll products,margarine,soda,misc. beverages,fruit/vegetable juice,chocolate,newspapers,,,,,,,,,,,,,,,
root vegetables,UHT-milk,domestic eggs,pasta,margarine,soups,cat food,coffee,bottled water,soda,misc. beverages,sparkling wine,specialty chocolate,specialty bar,seasonal products,female sanitary products,newspapers,,,,,,,,,,,,,,,
beef,hamburger meat,root vegetables,other vegetables,butter,curd,dessert,yogurt,cream cheese,frozen meals,pastry,potato products,Instant food products,soda,napkins,house keeping products,newspapers,,,,,,,,,,,,,,,
pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil,mustard,cat food,coffee,soda,chocolate,dish cleaner,napkins,newspapers,,,,,,,,,,,,,,,
meat,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,yogurt,sliced cheese,frozen vegetables,rice,Instant food products,baking powder,bottled water,syrup,female sanitary products,photo/film,,,,,,,,,,,,,,,
sausage,chicken,pip fruit,berries,other vegetables,dessert,yogurt,frozen vegetables,frozen meals,brown bread,semi-finished bread,ketchup,spices,ready soups,soda,canned beer,popcorn,,,,,,,,,,,,,,,
frankfurter,chicken,butter,dessert,butter milk,ice cream,pastry,oil,margarine,soda,salty snack,chocolate,chocolate marshmallow,detergent,hygiene articles,napkins,potted plants,,,,,,,,,,,,,,,
meat,chicken,pork,hamburger meat,citrus fruit,onions,other vegetables,yogurt,UHT-milk,spread cheese,domestic eggs,rolls/buns,margarine,bottled water,canned beer,female sanitary products,shopping bags,,,,,,,,,,,,,,,
organic sausage,tropical fruit,packaged fruit/vegetables,whole milk,curd,yogurt,soft cheese,curd cheese,frozen vegetables,domestic eggs,rolls/buns,pastry,margarine,bottled water,cooking chocolate,hygiene articles,shopping bags,,,,,,,,,,,,,,,
meat,citrus fruit,pip fruit,curd,yogurt,whipped/sour cream,domestic eggs,pastry,flour,fruit/vegetable juice,bottled beer,salty snack,chocolate,cooking chocolate,hygiene articles,napkins,shopping bags,,,,,,,,,,,,,,,
ham,chicken,citrus fruit,berries,onions,whole milk,curd,yogurt,frozen vegetables,rolls/buns,margarine,soda,liquor (appetizer),cake bar,candy,seasonal products,skin care,,,,,,,,,,,,,,,
sausage,chicken,beef,other vegetables,butter,dessert,whipped/sour cream,UHT-milk,soft cheese,frozen meals,brown bread,pasta,oil,specialty fat,pudding powder,pickled vegetables,specialty bar,,,,,,,,,,,,,,,
frankfurter,ham,citrus fruit,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,processed cheese,domestic eggs,white bread,coffee,bottled beer,,,,,,,,,,,,,,,,
beef,hamburger meat,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,whole milk,butter,whipped/sour cream,hard cheese,rolls/buns,brown bread,oil,waffles,cake bar,,,,,,,,,,,,,,,,
chicken,pork,pip fruit,other vegetables,whole milk,tidbits,frozen fish,rolls/buns,margarine,baking powder,soda,bottled beer,white wine,waffles,chocolate,candy,,,,,,,,,,,,,,,,
sausage,ham,citrus fruit,root vegetables,other vegetables,whole milk,soft cheese,processed cheese,frozen vegetables,salt,oil,margarine,soda,fruit/vegetable juice,bottled beer,chocolate,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,yogurt,soft cheese,cream cheese,domestic eggs,white bread,margarine,coffee,waffles,specialty bar,chocolate marshmallow,,,,,,,,,,,,,,,,
citrus fruit,berries,onions,other vegetables,condensed milk,soft cheese,oil,pickled vegetables,specialty vegetables,coffee,bottled water,soda,bottled beer,dish cleaner,male cosmetics,cling film/bags,,,,,,,,,,,,,,,,
ham,tropical fruit,pip fruit,grapes,berries,other vegetables,curd,dessert,yogurt,rolls/buns,margarine,honey,specialty chocolate,detergent,napkins,cling film/bags,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,rolls/buns,oil,mustard,soups,sweet spreads,soda,syrup,canned beer,waffles,chocolate,specialty bar,dish cleaner,baby cosmetics,cookware,,,,,,,,,,,,,,,,
frankfurter,sausage,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,frozen vegetables,white bread,brown bread,pasta,vinegar,soda,salty snack,detergent,,,,,,,,,,,,,,,,
ham,meat,root vegetables,other vegetables,whole milk,curd,yogurt,frozen vegetables,frozen meals,frozen fish,rolls/buns,jam,misc. beverages,candy,seasonal products,detergent,,,,,,,,,,,,,,,,
sausage,chicken,beef,pip fruit,root vegetables,onions,yogurt,soft cheese,mayonnaise,margarine,jam,sweet spreads,coffee,bottled water,soda,dish cleaner,,,,,,,,,,,,,,,,
sausage,citrus fruit,other vegetables,dessert,yogurt,whipped/sour cream,hard cheese,curd cheese,white bread,semi-finished bread,cat food,bottled water,seasonal products,softener,flower soil/fertilizer,flower (seeds),,,,,,,,,,,,,,,,
liver loaf,pork,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,curd,dessert,yogurt,frozen vegetables,brown bread,semi-finished bread,oil,dog food,fruit/vegetable juice,,,,,,,,,,,,,,,,
sausage,chicken,other vegetables,whole milk,whipped/sour cream,hard cheese,frozen meals,rolls/buns,cereals,coffee,nut snack,cake bar,cleaner,skin care,female sanitary products,house keeping products,,,,,,,,,,,,,,,,
ham,tropical fruit,root vegetables,other vegetables,whole milk,butter,yogurt,frozen vegetables,frozen dessert,frozen potato products,white bread,pasta,honey,chewing gum,detergent,hygiene articles,,,,,,,,,,,,,,,,
beef,grapes,herbs,other vegetables,whole milk,curd,whipped/sour cream,frozen vegetables,ice cream,oil,coffee,fruit/vegetable juice,chewing gum,specialty chocolate,cleaner,kitchen towels,,,,,,,,,,,,,,,,
frankfurter,liver loaf,pip fruit,whole milk,yogurt,beverages,cream cheese,frozen vegetables,frozen meals,brown bread,pastry,cereals,bottled water,soda,fruit/vegetable juice,kitchen towels,,,,,,,,,,,,,,,,
meat,other vegetables,whole milk,yogurt,soft cheese,sliced cheese,domestic eggs,margarine,cat food,pet care,coffee,bottled beer,red/blush wine,dish cleaner,napkins,kitchen towels,,,,,,,,,,,,,,,,
beef,root vegetables,other vegetables,whole milk,dessert,yogurt,rolls/buns,margarine,jam,soda,liquor (appetizer),waffles,chocolate marshmallow,candy,bathroom cleaner,light bulbs,,,,,,,,,,,,,,,,
sausage,pip fruit,berries,whole milk,curd,dessert,butter milk,yogurt,whipped/sour cream,soft cheese,sliced cheese,curd cheese,domestic eggs,rolls/buns,sugar,long life bakery product,,,,,,,,,,,,,,,,
pork,whole milk,curd,yogurt,whipped/sour cream,cream cheese,domestic eggs,white bread,sugar,baking powder,coffee,cocoa drinks,salty snack,waffles,candy,napkins,,,,,,,,,,,,,,,,
pork,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,domestic eggs,rolls/buns,white bread,pastry,jam,soda,waffles,candy,napkins,,,,,,,,,,,,,,,,
sausage,ham,tropical fruit,whole milk,butter,processed cheese,rolls/buns,potato products,rice,margarine,cereals,cat food,fruit/vegetable juice,bottled beer,chocolate,napkins,,,,,,,,,,,,,,,,
citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins,,,,,,,,,,,,,,,,
frankfurter,meat,berries,root vegetables,butter,whipped/sour cream,frozen vegetables,domestic eggs,rolls/buns,oil,specialty fat,spices,baking powder,bottled beer,waffles,napkins,,,,,,,,,,,,,,,,
